"household_id","household_id2","rural","pw_w3","ea_id","ea_id2","saq01","saq02","saq03","saq04","saq05","saq06","saq07","saq08","hh_s7q01","hh_s7q02_a","hh_s7q02_b","hh_s7q02_c","hh_s7q02_d","hh_s7q02_e","hh_s7q02_f","hh_s7q02_g","hh_s7q02_h","hh_s7q03_a","hh_s7q03_b","hh_s7q04","hh_s7q05_a","hh_s7q05_b","hh_s7q05_c","hh_s7q06","hh_s7q07_a","hh_s7q07_b","hh_s7q07_c","hh_s7q07_d","hh_s7q07_e","hh_s7q07_f","hh_s7q07_g","hh_s7q07_h","hh_s7q07_i","hh_s7q07_j","hh_s7q07_k","hh_s7q07_l","hh_s7q08_a","hh_s7q08_b","hh_s7q08_c"
"01010600402039","010106088800402039",1,3426.1669921875,"01010600402","010106088800402",1,1,6,8,88,4,2,39,2,0,0,0,0,0,0,0,0,3,6,1,,,,2,,,,,,,,,,,,,,,
"01010600402057","010106088800402057",1,3426.1669921875,"01010600402","010106088800402",1,1,6,8,88,4,2,57,2,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,,,,,
"01010600402075","010106088800402075",1,3426.1669921875,"01010600402","010106088800402",1,1,6,8,88,4,2,75,2,0,0,0,0,0,0,0,0,3,6,1,,,,2,,,,,,,,,,,,,,,
"01010600402094","010106088800402094",1,3426.1669921875,"01010600402","010106088800402",1,1,6,8,88,4,2,94,2,0,0,0,0,0,0,0,0,3,5,1,,,,2,,,,,,,,,,,,,,,
"01010600402112","010106088800402112",1,3426.1669921875,"01010600402","010106088800402",1,1,6,8,88,4,2,112,2,0,0,0,0,0,0,0,0,3,5,1,,,,2,,,,,,,,,,,,,,,
"01010600402130","010106088800402130",1,3426.1669921875,"01010600402","010106088800402",1,1,6,8,88,4,2,130,2,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,,,,,
"01010600402148","010106088800402148",1,3426.1669921875,"01010600402","010106088800402",1,1,6,8,88,4,2,148,2,0,0,0,0,0,0,0,0,4,6,1,,,,2,,,,,,,,,,,,,,,
"01010600402160","010106088800402160",1,270.486846923828,"01010600402","010106088800402",1,1,6,8,88,4,2,160,2,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,,,,,
"01010600402167","010106088800402167",1,3426.1669921875,"01010600402","010106088800402",1,1,6,8,88,4,2,167,2,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,,,,,
"01010700116012","010107010100116012",3,4280.70361328125,"01010700116","010107010100116",1,1,7,1,1,1,16,12,2,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,,,,,
"01010700116035","010107010100116035",3,4280.70361328125,"01010700116","010107010100116",1,1,7,1,1,1,16,35,2,1,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,,,,,
"01010700116058","010107010100116058",3,4280.70361328125,"01010700116","010107010100116",1,1,7,1,1,1,16,58,2,0,0,0,0,0,1,0,0,3,,1,,,,2,,,,,,,,,,,,,,,
"01010700116081","010107010100116081",3,4280.70361328125,"01010700116","010107010100116",1,1,7,1,1,1,16,81,2,1,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,,,,,
"01010700116104","010107010100116104",3,4280.70361328125,"01010700116","010107010100116",1,1,7,1,1,1,16,104,2,2,1,2,0,2,0,0,0,3,4,1,,,,2,,,,,,,,,,,,,,,
"01010700116127","010107010100116127",3,4280.70361328125,"01010700116","010107010100116",1,1,7,1,1,1,16,127,2,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,,,,,
"01010700116150","010107010100116150",3,4280.70361328125,"01010700116","010107010100116",1,1,7,1,1,1,16,150,2,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,,,,,
"01010700116173","010107010100116173",3,4280.70361328125,"01010700116","010107010100116",1,1,7,1,1,1,16,173,2,1,0,0,0,0,0,0,0,3,4,1,,,,2,,,,,,,,,,,,,,,
"01010700116196","010107010100116196",3,4280.70361328125,"01010700116","010107010100116",1,1,7,1,1,1,16,196,2,3,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,,,,,
"01010700116219","010107010100116219",3,4280.70361328125,"01010700116","010107010100116",1,1,7,1,1,1,16,219,1,1,0,0,0,2,5,0,0,3,5,1,,,,2,,,,,,,,,,,,,,,
"01010700116242","010107010100116242",3,4280.70361328125,"01010700116","010107010100116",1,1,7,1,1,1,16,242,2,0,0,0,0,0,0,0,0,3,5,1,,,,2,,,,,,,,,,,,,,,
"01010700116265","010107010100116265",3,4280.70361328125,"01010700116","010107010100116",1,1,7,1,1,1,16,265,2,0,0,0,0,0,0,0,0,2,,1,,,,2,,,,,,,,,,,,,,,
"01010700116288","010107010100116288",3,4280.70361328125,"01010700116","010107010100116",1,1,7,1,1,1,16,288,2,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,,,,,
"01010700116311","010107010100116311",3,4280.70361328125,"01010700116","010107010100116",1,1,7,1,1,1,16,311,2,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,,,,,
"01010700116334","010107010100116334",3,4280.70361328125,"01010700116","010107010100116",1,1,7,1,1,1,16,334,2,0,0,0,0,0,0,0,0,3,5,1,,,,2,,,,,,,,,,,,,,,
"01020100207002","010201088800207002",1,3320.48193359375,"01020100207","010201088800207",1,2,1,8,88,2,7,2,2,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,,,,,
"01020100207012","010201088800207012",1,3320.48193359375,"01020100207","010201088800207",1,2,1,8,88,2,7,12,2,1,0,1,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,,,,,
"01020100207017","010201088800207017",1,3320.48193359375,"01020100207","010201088800207",1,2,1,8,88,2,7,17,2,0,0,0,0,0,0,0,0,3,4,1,,,,2,,,,,,,,,,,,,,,
"01020100207027","010201088800207027",1,3320.48193359375,"01020100207","010201088800207",1,2,1,8,88,2,7,27,2,0,0,0,0,0,0,0,0,3,5,1,,,,2,,,,,,,,,,,,,,,
"01020100207047","010201088800207047",1,3320.48193359375,"01020100207","010201088800207",1,2,1,8,88,2,7,47,2,0,0,0,0,0,0,0,0,3,4,2,2,2,1,1,,,,,,"X","X",,,,,,3,6,
"01020100207062","010201088800207062",1,3320.48193359375,"01020100207","010201088800207",1,2,1,8,88,2,7,62,1,2,1,1,0,0,0,0,0,2,,1,,,,2,,,,,,,,,,,,,,,
"01020100207077","010201088800207077",1,3320.48193359375,"01020100207","010201088800207",1,2,1,8,88,2,7,77,2,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,,,,,
"01020100207092","010201088800207092",1,3320.48193359375,"01020100207","010201088800207",1,2,1,8,88,2,7,92,2,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,,,,,
"01020100207107","010201088800207107",1,3320.48193359375,"01020100207","010201088800207",1,2,1,8,88,2,7,107,2,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,,,,,
"01020100207122","010201088800207122",1,3320.48193359375,"01020100207","010201088800207",1,2,1,8,88,2,7,122,2,0,0,0,0,0,0,0,0,2,3,1,,,,2,,,,,,,,,,,,,,,
"01020100207137","010201088800207137",1,3320.48193359375,"01020100207","010201088800207",1,2,1,8,88,2,7,137,2,0,0,0,0,0,0,0,0,3,4,1,,,,2,,,,,,,,,,,,,,,
"01020200107008","010202020100107008",3,1781.97839355469,"01020200107","010202020100107",1,2,2,2,1,1,7,8,1,3,1,1,1,0,0,0,0,2,,1,,,,1,,"X",,"X",,,,,,"X",,"X",6,,
"01020200107034","010202020100107034",3,1781.97839355469,"01020200107","010202020100107",1,2,2,2,1,1,7,34,1,0,1,2,1,3,0,0,0,3,4,1,,,,1,"X",,,,,,,,,,,"X",1,11,
"01020200107047","010202020100107047",3,1781.97839355469,"01020200107","010202020100107",1,2,2,2,1,1,7,47,2,0,0,0,0,0,0,0,0,3,4,1,,,,2,,,,,,,,,,,,,,,
"01020200107073","010202020100107073",3,1781.97839355469,"01020200107","010202020100107",1,2,2,2,1,1,7,73,2,0,0,0,0,0,0,0,0,2,,1,,,,2,,,,,,,,,,,,,,,
"01020200107086","010202020100107086",3,1781.97839355469,"01020200107","010202020100107",1,2,2,2,1,1,7,86,1,3,1,2,1,0,0,0,0,3,4,1,,,,1,,,,,"X","X","X",,,,,,1,6,
"01020200107099","010202020100107099",3,1781.97839355469,"01020200107","010202020100107",1,2,2,2,1,1,7,99,2,0,0,0,0,0,0,0,0,2,,1,,,,2,,,,,,,,,,,,,,,
