"household_id","ea_id","rural","pw","saq01","saq02","saq03","saq04","saq05","saq06","saq07","saq08","hh_s9q01","hh_s9q02_a","hh_s9q02_b","hh_s9q03","hh_s9q04","hh_s9q05","hh_s9q06","hh_s9q07","hh_s9q08","hh_s9q09","hh_s9q10","hh_s9q11","hh_s9q12","hh_s9q13","hh_s9q14","hh_s9q15","hh_s9q16","hh_s9q17","hh_s9q18","hh_s9q19","hh_s9q20","hh_s9q21"
"01020301001095","01020301001",1,3416.8232421875,1,2,3,8,88,10,1,95,1,33,6,1,2,5,4,1,3,2,8,7,4,7,7,2,2,2,,10,1,5
"01020301001097","01020301001",1,1189.40051269531,1,2,3,8,88,10,1,97,1,36,0,1,1,5,4,1,3,2,8,7,4,7,7,2,2,2,,10,1,1
"01020301001111","01020301001",1,3416.8232421875,1,2,3,8,88,10,1,111,1,26,0,1,2,5,4,1,1,2,8,7,4,7,7,2,2,2,,10,1,1
"01020301001128","01020301001",1,3416.8232421875,1,2,3,8,88,10,1,128,1,19,3,1,2,5,4,1,3,2,8,7,4,7,7,2,2,2,,10,1,1
"01020301001145","01020301001",1,3416.8232421875,1,2,3,8,88,10,1,145,1,21,4,2,2,2,3,1,3,2,8,7,4,7,7,2,2,2,,10,1,1
"01020301001152","01020301001",1,1189.40051269531,1,2,3,8,88,10,1,152,1,55,0,1,2,5,4,1,3,2,8,7,4,7,7,2,2,2,,10,1,1
"01020401702002","01020401702",1,4736.44140625,1,2,4,8,88,17,2,2,1,6,5,1,3,5,4,1,2,1,8,7,4,8,8,2,2,1,3,10,1,1
"01020401702005","01020401702",1,969.447082519531,1,2,4,8,88,17,2,5,1,1,1,1,1,1,1,5,1,1,2,7,4,7,7,2,2,2,,2,4,2
"01020401702018","01020401702",1,4736.44140625,1,2,4,8,88,17,2,18,1,22,12,1,3,5,1,1,2,1,5,7,3,8,8,2,2,1,3,10,1,1
"01020401702033","01020401702",1,4736.44140625,1,2,4,8,88,17,2,33,1,30,7,1,3,5,1,1,2,1,8,7,4,9,9,2,2,2,,9,1,1
"01020401702048","01020401702",1,4736.44140625,1,2,4,8,88,17,2,48,1,14,5,1,2,5,3,1,2,1,6,7,4,7,7,2,2,2,,10,1,1
"01020401702063","01020401702",1,4736.44140625,1,2,4,8,88,17,2,63,1,10,5,1,2,5,1,1,2,1,8,7,4,8,8,2,2,2,,10,1,1
"01020401702078","01020401702",1,4736.44140625,1,2,4,8,88,17,2,78,1,30,8,1,3,5,1,1,2,1,8,7,4,8,8,2,2,2,,9,1,1
"01020401702093","01020401702",1,4736.44140625,1,2,4,8,88,17,2,93,1,33,4,1,2,5,1,1,2,1,5,7,3,9,8,2,2,2,,9,1,1
"01020401702108","01020401702",1,4736.44140625,1,2,4,8,88,17,2,108,1,43,5,1,3,5,1,1,2,1,8,7,4,8,8,2,2,2,,9,1,1
"01020401702123","01020401702",1,4736.44140625,1,2,4,8,88,17,2,123,1,1,,1,1,2,3,1,2,1,8,7,3,8,8,2,2,2,,10,1,1
"01020401702138","01020401702",1,4736.44140625,1,2,4,8,88,17,2,138,1,45,10,1,3,5,1,1,2,1,8,7,4,9,9,2,2,2,,10,1,1
"01020401702149","01020401702",1,969.447082519531,1,2,4,8,88,17,2,149,1,7,5,3,1,4,1,1,5,2,8,7,3,7,7,2,2,1,2,2,5,2
"01020601301002","01020601301",1,3223.05908203125,1,2,6,8,88,13,1,2,1,30,,1,1,5,3,1,2,2,8,7,4,9,9,2,2,1,1,10,1,1
"01020601301018","01020601301",1,3223.05908203125,1,2,6,8,88,13,1,18,1,47,7,1,2,4,3,1,3,2,8,7,4,7,9,2,2,2,,10,1,1
"01020601301033","01020601301",1,3223.05908203125,1,2,6,8,88,13,1,33,1,34,6,1,3,5,3,1,3,2,8,7,4,7,7,2,2,2,,10,1,1
"01020601301050","01020601301",1,3223.05908203125,1,2,6,8,88,13,1,50,1,28,6,1,2,5,1,1,3,2,8,7,5,7,7,2,2,2,,10,1,1
"01020601301066","01020601301",1,3223.05908203125,1,2,6,8,88,13,1,66,1,50,8,1,1,4,3,1,2,2,8,7,4,9,7,2,2,1,1,10,1,1
"01020601301081","01020601301",1,3223.05908203125,1,2,6,8,88,13,1,81,1,24,6,1,1,5,1,1,3,2,8,7,4,9,9,2,2,1,2,10,1,1
"01020601301097","01020601301",1,3223.05908203125,1,2,6,8,88,13,1,97,1,29,9,1,1,5,1,1,3,2,8,7,4,9,7,2,2,1,1,10,1,1
"01020601301112","01020601301",1,3223.05908203125,1,2,6,8,88,13,1,112,1,35,,1,2,5,1,1,2,2,8,7,4,9,7,2,2,2,,10,1,1
"01020601301134","01020601301",1,3223.05908203125,1,2,6,8,88,13,1,134,1,2,,1,1,6,1,1,1,5,8,7,4,7,7,2,2,2,,10,1,1
"01020601301136","01020601301",1,175.166259765625,1,2,6,8,88,13,1,136,2,,6,1,1,6,1,1,1,3,8,7,4,7,7,2,2,2,,2,3,2
